# Cartographie complète des réponses générée le 2025-11-14T15:16:58-05:00
# Champ | Valeur | Libellé | Définie | Observée | Section | Origine
prenom | Janni | Janni | non | 1 | Informations personnelles | index.php:getFieldDefinitions:prenom
prenom | Testtt | Testtt | non | 2 | Informations personnelles | index.php:getFieldDefinitions:prenom
prenom | Minila | Minila | non | 1 | Informations personnelles | index.php:getFieldDefinitions:prenom
prenom | Grenouille | Grenouille | non | 1 | Informations personnelles | index.php:getFieldDefinitions:prenom
prenom | Banane | Banane | non | 1 | Informations personnelles | index.php:getFieldDefinitions:prenom
prenom | Mila | Mila | non | 1 | Informations personnelles | index.php:getFieldDefinitions:prenom
prenom | Refina | Refina | non | 1 | Informations personnelles | index.php:getFieldDefinitions:prenom
prenom | Dixo | Dixo | non | 1 | Informations personnelles | index.php:getFieldDefinitions:prenom
prenom | Boule | Boule | non | 1 | Informations personnelles | index.php:getFieldDefinitions:prenom
prenom | Test De | Test De | non | 1 | Informations personnelles | index.php:getFieldDefinitions:prenom
prenom | Monsieur | Monsieur | non | 1 | Informations personnelles | index.php:getFieldDefinitions:prenom
prenom | Test Valère | Test Valère | non | 1 | Informations personnelles | index.php:getFieldDefinitions:prenom
prenom | Jacques | Jacques | non | 1 | Informations personnelles | index.php:getFieldDefinitions:prenom
prenom | Ice-Cream | Ice-Cream | non | 1 | Informations personnelles | index.php:getFieldDefinitions:prenom
prenom | Mademoiselle | Mademoiselle | non | 1 | Informations personnelles | index.php:getFieldDefinitions:prenom
prenom | Richy | Richy | non | 1 | Informations personnelles | index.php:getFieldDefinitions:prenom
nom | Testa | Testa | non | 3 | Informations personnelles | index.php:getFieldDefinitions:nom
nom | Testii | Testii | non | 1 | Informations personnelles | index.php:getFieldDefinitions:nom
nom | Pouliche | Pouliche | non | 1 | Informations personnelles | index.php:getFieldDefinitions:nom
nom | Testaaaao | Testaaaao | non | 1 | Informations personnelles | index.php:getFieldDefinitions:nom
nom | MR Raindow | MR Raindow | non | 1 | Informations personnelles | index.php:getFieldDefinitions:nom
nom | Test | Test | non | 2 | Informations personnelles | index.php:getFieldDefinitions:nom
nom | Testi | Testi | non | 1 | Informations personnelles | index.php:getFieldDefinitions:nom
nom | Testiia | Testiia | non | 1 | Informations personnelles | index.php:getFieldDefinitions:nom
nom | Testaaaa | Testaaaa | non | 1 | Informations personnelles | index.php:getFieldDefinitions:nom
nom | Ncement | Ncement | non | 1 | Informations personnelles | index.php:getFieldDefinitions:nom
nom | De-poils | De-poils | non | 1 | Informations personnelles | index.php:getFieldDefinitions:nom
nom | Midi Vinght-Deux | Midi Vinght-Deux | non | 1 | Informations personnelles | index.php:getFieldDefinitions:nom
nom | Jacques | Jacques | non | 1 | Informations personnelles | index.php:getFieldDefinitions:nom
nom | Demande | Demande | non | 1 | Informations personnelles | index.php:getFieldDefinitions:nom
nom | Refinance | Refinance | non | 1 | Informations personnelles | index.php:getFieldDefinitions:nom
nom | Micher-Lange | Micher-Lange | non | 1 | Informations personnelles | index.php:getFieldDefinitions:nom
nom | Refin | Refin | non | 1 | Informations personnelles | index.php:getFieldDefinitions:nom
dob | 1980-10-10 | 1980-10-10 | non | 6 | Informations personnelles | index.php:getFieldDefinitions:dob
dob | 1990-01-01 | 1990-01-01 | non | 5 | Informations personnelles | index.php:getFieldDefinitions:dob
dob | 1990-10-10 | 1990-10-10 | non | 2 | Informations personnelles | index.php:getFieldDefinitions:dob
dob | 1970-01-01 | 1970-01-01 | non | 1 | Informations personnelles | index.php:getFieldDefinitions:dob
dob | 2000-01-01 | 2000-01-01 | non | 1 | Informations personnelles | index.php:getFieldDefinitions:dob
dob | 1963-09-09 | 1963-09-09 | non | 1 | Informations personnelles | index.php:getFieldDefinitions:dob
dob | 0950-10-10 | 0950-10-10 | non | 1 | Informations personnelles | index.php:getFieldDefinitions:dob
dob | 1966-01-10 | 1966-01-10 | non | 1 | Informations personnelles | index.php:getFieldDefinitions:dob
dob | 1975-10-10 | 1975-10-10 | non | 1 | Informations personnelles | index.php:getFieldDefinitions:dob
dob | 1995-01-01 | 1995-01-01 | non | 1 | Informations personnelles | index.php:getFieldDefinitions:dob
etat_civil |  | -- Sélectionnez -- | oui | 0 | Informations personnelles | index.php:getFieldDefinitions:etat_civil
etat_civil | Célibataire | Célibataire | oui | 3 | Informations personnelles | index.php:getFieldDefinitions:etat_civil
etat_civil | Marié | Marié | oui | 6 | Informations personnelles | index.php:getFieldDefinitions:etat_civil
etat_civil | Divorcé | Divorcé | oui | 9 | Informations personnelles | index.php:getFieldDefinitions:etat_civil
etat_civil | Séparé | Séparé | oui | 1 | Informations personnelles | index.php:getFieldDefinitions:etat_civil
etat_civil | Conjoint de fait | Conjoint de fait | oui | 1 | Informations personnelles | index.php:getFieldDefinitions:etat_civil
etat_civil | Veuf/Veuve | Veuf/Veuve | oui | 0 | Informations personnelles | index.php:getFieldDefinitions:etat_civil
regime_matrimonial |  | -- Sélectionnez -- | oui | 14 | Informations personnelles | index.php:getFieldDefinitions:regime_matrimonial
regime_matrimonial | Société d’acquêts | Société d’acquêts | oui | 4 | Informations personnelles | index.php:getFieldDefinitions:regime_matrimonial
regime_matrimonial | Séparation de biens | Séparation de biens | oui | 2 | Informations personnelles | index.php:getFieldDefinitions:regime_matrimonial
regime_matrimonial | Communauté de biens | Communauté de biens | oui | 0 | Informations personnelles | index.php:getFieldDefinitions:regime_matrimonial
veuf_option |  | -- Sélectionnez -- | oui | 16 | Informations personnelles | index.php:getFieldDefinitions:veuf_option
veuf_option | Veuf/Veuve récent(e) | Veuf/Veuve récent(e) | oui | 0 | Informations personnelles | index.php:getFieldDefinitions:veuf_option
veuf_option | Remarié(e) | Remarié(e) | oui | 0 | Informations personnelles | index.php:getFieldDefinitions:veuf_option
veuf_option | Autre | Autre | oui | 0 | Informations personnelles | index.php:getFieldDefinitions:veuf_option
veuf_option | Je ne reçois pas de montant | Je ne reçois pas de montant | non | 4 | Informations personnelles | index.php:getFieldDefinitions:veuf_option
telephone | 2424421289 | 2424421289 | non | 10 | Informations personnelles | index.php:getFieldDefinitions:telephone
telephone | 5144098983 | 5144098983 | non | 6 | Informations personnelles | index.php:getFieldDefinitions:telephone
telephone | 5140000000 | 5140000000 | non | 3 | Informations personnelles | index.php:getFieldDefinitions:telephone
telephone | 5260000000 | 5260000000 | non | 1 | Informations personnelles | index.php:getFieldDefinitions:telephone
email | louecyn@outlook.com | louecyn@outlook.com | non | 9 | Informations personnelles | index.php:getFieldDefinitions:email
email | lorianne.boulanger@outlook.com | lorianne.boulanger@outlook.com | non | 11 | Informations personnelles | index.php:getFieldDefinitions:email
resident |  | -- Sélectionnez -- | oui | 0 | Informations personnelles | index.php:getFieldDefinitions:resident
resident | Citoyen | Citoyen | oui | 20 | Informations personnelles | index.php:getFieldDefinitions:resident
resident | Résident | Résident | oui | 0 | Informations personnelles | index.php:getFieldDefinitions:resident
resident | Immigrant reçu | Immigrant reçu | oui | 0 | Informations personnelles | index.php:getFieldDefinitions:resident
resident | Étranger | Étranger | oui | 0 | Informations personnelles | index.php:getFieldDefinitions:resident
resident | Visa Étudiant | Visa Étudiant | oui | 0 | Informations personnelles | index.php:getFieldDefinitions:resident
resident | Visa de travail | Visa de travail | oui | 0 | Informations personnelles | index.php:getFieldDefinitions:resident
resident | Non résident | Non résident | oui | 0 | Informations personnelles | index.php:getFieldDefinitions:resident
nouvel_arrivant |  | -- Sélectionnez -- | oui | 0 | Informations personnelles | index.php:getFieldDefinitions:nouvel_arrivant
nouvel_arrivant | Oui | Oui | oui | 0 | Informations personnelles | index.php:getFieldDefinitions:nouvel_arrivant
nouvel_arrivant | Non | Non | oui | 20 | Informations personnelles | index.php:getFieldDefinitions:nouvel_arrivant
nouvel_acheteur |  | -- Sélectionnez -- | oui | 0 | Informations personnelles | index.php:getFieldDefinitions:nouvel_acheteur
nouvel_acheteur | Oui | Oui | oui | 9 | Informations personnelles | index.php:getFieldDefinitions:nouvel_acheteur
nouvel_acheteur | Non | Non | oui | 11 | Informations personnelles | index.php:getFieldDefinitions:nouvel_acheteur
piece1_type |  | -- Sélectionnez -- | oui | 0 | 2 Pièces d’identités | index.php:getFieldDefinitions:piece1_type
piece1_type | Permis de conduire | Permis de conduire | oui | 19 | 2 Pièces d’identités | index.php:getFieldDefinitions:piece1_type
piece1_type | Carte d’assurance maladie | Carte d’assurance maladie | oui | 1 | 2 Pièces d’identités | index.php:getFieldDefinitions:piece1_type
piece1_type | Passeport | Passeport | oui | 0 | 2 Pièces d’identités | index.php:getFieldDefinitions:piece1_type
piece1_type | Autres | Autres | oui | 0 | 2 Pièces d’identités | index.php:getFieldDefinitions:piece1_type
piece1_autre_type |  |  | non | 20 | 2 Pièces d’identités | index.php:getFieldDefinitions:piece1_autre_type
piece1_pays | Canada | Canada | non | 20 | 2 Pièces d’identités | index.php:getFieldDefinitions:piece1_pays
piece1_numero | HDHF7883 | HDHF7883 | non | 9 | 2 Pièces d’identités | index.php:getFieldDefinitions:piece1_numero
piece1_numero |  V2002-150186-01 |  V2002-150186-01 | non | 9 | 2 Pièces d’identités | index.php:getFieldDefinitions:piece1_numero
piece1_numero | 000 | 000 | non | 1 | 2 Pièces d’identités | index.php:getFieldDefinitions:piece1_numero
piece1_numero | Y47474-3939-22 | Y47474-3939-22 | non | 1 | 2 Pièces d’identités | index.php:getFieldDefinitions:piece1_numero
piece1_expiration | 2030-10-10 | 2030-10-10 | non | 10 | 2 Pièces d’identités | index.php:getFieldDefinitions:piece1_expiration
piece1_expiration | 2030-01-01 | 2030-01-01 | non | 6 | 2 Pièces d’identités | index.php:getFieldDefinitions:piece1_expiration
piece1_expiration | 2028-01-01 | 2028-01-01 | non | 3 | 2 Pièces d’identités | index.php:getFieldDefinitions:piece1_expiration
piece1_expiration | 2026-01-01 | 2026-01-01 | non | 1 | 2 Pièces d’identités | index.php:getFieldDefinitions:piece1_expiration
piece2_type |  | -- Sélectionnez -- | oui | 0 | 2 Pièces d’identités | index.php:getFieldDefinitions:piece2_type
piece2_type | Permis de conduire | Permis de conduire | oui | 1 | 2 Pièces d’identités | index.php:getFieldDefinitions:piece2_type
piece2_type | Carte d’assurance maladie | Carte d’assurance maladie | oui | 19 | 2 Pièces d’identités | index.php:getFieldDefinitions:piece2_type
piece2_type | Passeport | Passeport | oui | 0 | 2 Pièces d’identités | index.php:getFieldDefinitions:piece2_type
piece2_type | Autres | Autres | oui | 0 | 2 Pièces d’identités | index.php:getFieldDefinitions:piece2_type
piece2_autre_type |  |  | non | 20 | 2 Pièces d’identités | index.php:getFieldDefinitions:piece2_autre_type
piece2_pays | Canada | Canada | non | 20 | 2 Pièces d’identités | index.php:getFieldDefinitions:piece2_pays
piece2_numero | GILV77041312 | GILV77041312 | non | 7 | 2 Pièces d’identités | index.php:getFieldDefinitions:piece2_numero
piece2_numero | FFFHH2E388 | FFFHH2E388 | non | 8 | 2 Pièces d’identités | index.php:getFieldDefinitions:piece2_numero
piece2_numero |  VASC86011512 |  VASC86011512 | non | 3 | 2 Pièces d’identités | index.php:getFieldDefinitions:piece2_numero
piece2_numero | 0000 | 0000 | non | 1 | 2 Pièces d’identités | index.php:getFieldDefinitions:piece2_numero
piece2_numero | FHDD273636 | FHDD273636 | non | 1 | 2 Pièces d’identités | index.php:getFieldDefinitions:piece2_numero
piece2_expiration | 2030-10-10 | 2030-10-10 | non | 10 | 2 Pièces d’identités | index.php:getFieldDefinitions:piece2_expiration
piece2_expiration | 2030-01-01 | 2030-01-01 | non | 6 | 2 Pièces d’identités | index.php:getFieldDefinitions:piece2_expiration
piece2_expiration | 2028-01-01 | 2028-01-01 | non | 3 | 2 Pièces d’identités | index.php:getFieldDefinitions:piece2_expiration
piece2_expiration | 2026-01-01 | 2026-01-01 | non | 1 | 2 Pièces d’identités | index.php:getFieldDefinitions:piece2_expiration
adresses | (aucune) |  | non | 0 | Historique d’adresses | index.php:getFieldDefinitions:adresses
adresses.type |  | -- Sélectionnez -- | oui | 0 | Historique d’adresses | index.php:getFieldDefinitions:adresses.type
adresses.type | Actuel | Actuel | oui | 17 | Historique d’adresses | index.php:getFieldDefinitions:adresses.type
adresses.type | Précédent | Précédent | oui | 2 | Historique d’adresses | index.php:getFieldDefinitions:adresses.type
adresses.numero_rue | 590 | 590 | non | 5 | Historique d’adresses | index.php:getFieldDefinitions:adresses.numero_rue
adresses.numero_rue | 774 | 774 | non | 2 | Historique d’adresses | index.php:getFieldDefinitions:adresses.numero_rue
adresses.numero_rue | 11 rue Jambon, Montreal, QC, H1H2H2 | 11 rue Jambon, Montreal, QC, H1H2H2 | non | 2 | Historique d’adresses | index.php:getFieldDefinitions:adresses.numero_rue
adresses.numero_rue | Unit 913 Harbour House Towers Condominium Freeport | Unit 913 Harbour House Towers Condominium Freeport | non | 6 | Historique d’adresses | index.php:getFieldDefinitions:adresses.numero_rue
adresses.numero_rue | 7745 | 7745 | non | 1 | Historique d’adresses | index.php:getFieldDefinitions:adresses.numero_rue
adresses.numero_rue | 11 | 11 | non | 1 | Historique d’adresses | index.php:getFieldDefinitions:adresses.numero_rue
adresses.numero_rue | 1074 notre-dame ouest | 1074 notre-dame ouest | non | 1 | Historique d’adresses | index.php:getFieldDefinitions:adresses.numero_rue
adresses.numero_rue | 77 | 77 | non | 1 | Historique d’adresses | index.php:getFieldDefinitions:adresses.numero_rue
adresses.nom_rue | rue vaya | rue vaya | non | 2 | Historique d’adresses | index.php:getFieldDefinitions:adresses.nom_rue
adresses.nom_rue | 590 | 590 | non | 3 | Historique d’adresses | index.php:getFieldDefinitions:adresses.nom_rue
adresses.nom_rue | rue bleuet | rue bleuet | non | 1 | Historique d’adresses | index.php:getFieldDefinitions:adresses.nom_rue
adresses.nom_rue | 11 rue Jambon, Montreal, QC, H1H2H2 | 11 rue Jambon, Montreal, QC, H1H2H2 | non | 2 | Historique d’adresses | index.php:getFieldDefinitions:adresses.nom_rue
adresses.nom_rue | Unit 913 Harbour House Towers Condominium Freeport | Unit 913 Harbour House Towers Condominium Freeport | non | 5 | Historique d’adresses | index.php:getFieldDefinitions:adresses.nom_rue
adresses.nom_rue | Rue test | Rue test | non | 1 | Historique d’adresses | index.php:getFieldDefinitions:adresses.nom_rue
adresses.nom_rue | alalala | alalala | non | 1 | Historique d’adresses | index.php:getFieldDefinitions:adresses.nom_rue
adresses.nom_rue | Lafleur | Lafleur | non | 2 | Historique d’adresses | index.php:getFieldDefinitions:adresses.nom_rue
adresses.nom_rue | rue lévis | rue lévis | non | 1 | Historique d’adresses | index.php:getFieldDefinitions:adresses.nom_rue
adresses.nom_rue | 800 | 800 | non | 1 | Historique d’adresses | index.php:getFieldDefinitions:adresses.nom_rue
adresses.appartement |  |  | non | 19 | Historique d’adresses | index.php:getFieldDefinitions:adresses.appartement
adresses.ville | victoriaville | victoriaville | non | 8 | Historique d’adresses | index.php:getFieldDefinitions:adresses.ville
adresses.ville | Montreal | Montreal | non | 4 | Historique d’adresses | index.php:getFieldDefinitions:adresses.ville
adresses.ville | Freeport, Grand Bahama | Freeport, Grand Bahama | non | 6 | Historique d’adresses | index.php:getFieldDefinitions:adresses.ville
adresses.ville | abc | abc | non | 1 | Historique d’adresses | index.php:getFieldDefinitions:adresses.ville
adresses.province | qc | qc | non | 10 | Historique d’adresses | index.php:getFieldDefinitions:adresses.province
adresses.province | Québec | Québec | non | 4 | Historique d’adresses | index.php:getFieldDefinitions:adresses.province
adresses.province | ww | ww | non | 4 | Historique d’adresses | index.php:getFieldDefinitions:adresses.province
adresses.province | grand bahama | grand bahama | non | 1 | Historique d’adresses | index.php:getFieldDefinitions:adresses.province
adresses.code_postal | g6p1l4 | g6p1l4 | non | 8 | Historique d’adresses | index.php:getFieldDefinitions:adresses.code_postal
adresses.code_postal | H1E2A2 | H1E2A2 | non | 2 | Historique d’adresses | index.php:getFieldDefinitions:adresses.code_postal
adresses.code_postal | neheh | neheh | non | 4 | Historique d’adresses | index.php:getFieldDefinitions:adresses.code_postal
adresses.code_postal | H1E9D9 | H1E9D9 | non | 1 | Historique d’adresses | index.php:getFieldDefinitions:adresses.code_postal
adresses.code_postal | h1h1h1 | h1h1h1 | non | 1 | Historique d’adresses | index.php:getFieldDefinitions:adresses.code_postal
adresses.code_postal | h2hh2h | h2hh2h | non | 1 | Historique d’adresses | index.php:getFieldDefinitions:adresses.code_postal
adresses.code_postal | H1E4J4 | H1E4J4 | non | 1 | Historique d’adresses | index.php:getFieldDefinitions:adresses.code_postal
adresses.code_postal | Bahamas | Bahamas | non | 1 | Historique d’adresses | index.php:getFieldDefinitions:adresses.code_postal
adresses.date_debut | 2015-10-10 | 2015-10-10 | non | 2 | Historique d’adresses | index.php:getFieldDefinitions:adresses.date_debut
adresses.date_debut | 2010-01-01 | 2010-01-01 | non | 3 | Historique d’adresses | index.php:getFieldDefinitions:adresses.date_debut
adresses.date_debut | 2020-01-01 | 2020-01-01 | non | 2 | Historique d’adresses | index.php:getFieldDefinitions:adresses.date_debut
adresses.date_debut | 2015-01-01 | 2015-01-01 | non | 2 | Historique d’adresses | index.php:getFieldDefinitions:adresses.date_debut
adresses.date_debut | 2010-10-10 | 2010-10-10 | non | 4 | Historique d’adresses | index.php:getFieldDefinitions:adresses.date_debut
adresses.date_debut | 2001-01-01 | 2001-01-01 | non | 1 | Historique d’adresses | index.php:getFieldDefinitions:adresses.date_debut
adresses.date_debut | 2000-01-01 | 2000-01-01 | non | 1 | Historique d’adresses | index.php:getFieldDefinitions:adresses.date_debut
adresses.date_debut | 2021-01-01 | 2021-01-01 | non | 1 | Historique d’adresses | index.php:getFieldDefinitions:adresses.date_debut
adresses.date_debut | 2022-01-01 | 2022-01-01 | non | 1 | Historique d’adresses | index.php:getFieldDefinitions:adresses.date_debut
adresses.date_debut | 2023-10-10 | 2023-10-10 | non | 1 | Historique d’adresses | index.php:getFieldDefinitions:adresses.date_debut
adresses.date_debut | 2005-01-01 | 2005-01-01 | non | 1 | Historique d’adresses | index.php:getFieldDefinitions:adresses.date_debut
adresses.date_fin |  |  | non | 17 | Historique d’adresses | index.php:getFieldDefinitions:adresses.date_fin
adresses.date_fin | 2022-01-01 | 2022-01-01 | non | 1 | Historique d’adresses | index.php:getFieldDefinitions:adresses.date_fin
adresses.date_fin | 2023-10-10 | 2023-10-10 | non | 1 | Historique d’adresses | index.php:getFieldDefinitions:adresses.date_fin
adresses.statut |  | -- Sélectionnez -- | oui | 0 | Historique d’adresses | index.php:getFieldDefinitions:adresses.statut
adresses.statut | Propriétaire | Propriétaire | oui | 5 | Historique d’adresses | index.php:getFieldDefinitions:adresses.statut
adresses.statut | Loyer | Loyer | oui | 14 | Historique d’adresses | index.php:getFieldDefinitions:adresses.statut
adresses.statut | Habite avec mes parents | Habite avec mes parents | oui | 0 | Historique d’adresses | index.php:getFieldDefinitions:adresses.statut
adresses.statut | Co-Habite | Co-Habite | oui | 0 | Historique d’adresses | index.php:getFieldDefinitions:adresses.statut
adresses.cout_loyer | 1800 | 1800 | non | 4 | Historique d’adresses | index.php:getFieldDefinitions:adresses.cout_loyer
adresses.cout_loyer | 1700 | 1700 | non | 2 | Historique d’adresses | index.php:getFieldDefinitions:adresses.cout_loyer
adresses.cout_loyer | 1200 | 1200 | non | 3 | Historique d’adresses | index.php:getFieldDefinitions:adresses.cout_loyer
adresses.cout_loyer |  |  | non | 5 | Historique d’adresses | index.php:getFieldDefinitions:adresses.cout_loyer
adresses.cout_loyer | 800 | 800 | non | 1 | Historique d’adresses | index.php:getFieldDefinitions:adresses.cout_loyer
adresses.cout_loyer | 833 | 833 | non | 1 | Historique d’adresses | index.php:getFieldDefinitions:adresses.cout_loyer
adresses.cout_loyer | 733 | 733 | non | 1 | Historique d’adresses | index.php:getFieldDefinitions:adresses.cout_loyer
adresses.cout_loyer | 590 | 590 | non | 1 | Historique d’adresses | index.php:getFieldDefinitions:adresses.cout_loyer
adresses.cout_loyer | 838 | 838 | non | 1 | Historique d’adresses | index.php:getFieldDefinitions:adresses.cout_loyer
adresses.lien_proprio |  |  | non | 19 | Historique d’adresses | index.php:getFieldDefinitions:adresses.lien_proprio
emplois | (aucune) |  | non | 0 | Emploi(s) | index.php:getFieldDefinitions:emplois
emplois.nom_employeur | emploi test Rue De l'aqueduc | emploi test Rue De l'aqueduc | non | 13 | Emploi(s) | index.php:getFieldDefinitions:emplois.nom_employeur
emplois.nom_employeur | Emploi 2 | Emploi 2 | non | 1 | Emploi(s) | index.php:getFieldDefinitions:emplois.nom_employeur
emplois.nom_employeur | job boss | job boss | non | 1 | Emploi(s) | index.php:getFieldDefinitions:emplois.nom_employeur
emplois.nom_employeur | les aliments midlon foods inc | les aliments midlon foods inc | non | 3 | Emploi(s) | index.php:getFieldDefinitions:emplois.nom_employeur
emplois.nom_employeur | boss | boss | non | 1 | Emploi(s) | index.php:getFieldDefinitions:emplois.nom_employeur
emplois.statut |  | -- Sélectionnez -- | oui | 0 | Emploi(s) | index.php:getFieldDefinitions:emplois.statut
emplois.statut | Actuel | Actuel | oui | 18 | Emploi(s) | index.php:getFieldDefinitions:emplois.statut
emplois.statut | Précédent | Précédent | oui | 1 | Emploi(s) | index.php:getFieldDefinitions:emplois.statut
emplois.numero_rue | 6100 | 6100 | non | 12 | Emploi(s) | index.php:getFieldDefinitions:emplois.numero_rue
emplois.numero_rue | 22 | 22 | non | 2 | Emploi(s) | index.php:getFieldDefinitions:emplois.numero_rue
